,no_of_adults,children,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,avg_price_per_room,booking_status,cx_rsvn_pcg,nights_ttl
198,2,0,Meal Plan 1,0,Room_Type 1,127,Offline,0,61.5,0,0.0,4
199,2,0,Meal Plan 2,0,Room_Type 1,418,Online,0,107.0,1,0.0,3
200,2,0,Not Selected,0,Room_Type 1,156,Online,0,87.3,0,0.0,5
201,2,0,Meal Plan 1,0,Room_Type 1,80,Online,0,76.5,1,0.0,2
202,2,0,Not Selected,0,Room_Type 1,211,Online,0,63.75,1,0.0,4
203,2,0,Meal Plan 1,0,Room_Type 1,273,Online,0,95.0,1,0.0,3
204,2,0,Meal Plan 1,0,Room_Type 1,58,Offline,0,75.0,0,0.0,3
205,2,0,Meal Plan 1,0,Room_Type 1,433,Online,0,70.0,1,0.0,3
206,2,0,Meal Plan 1,0,Room_Type 1,111,Online,0,101.58,0,0.0,4
207,2,0,Meal Plan 1,0,Room_Type 1,34,Offline,0,85.0,0,0.0,5
208,2,0,Meal Plan 1,0,Room_Type 1,17,Online,0,98.39,0,0.0,6
209,1,0,Meal Plan 1,0,Room_Type 1,4,Complementary,0,0.0,0,0.0,0
210,2,0,Meal Plan 1,0,Room_Type 1,6,Online,0,106.07,0,0.0,3
211,2,0,Meal Plan 1,0,Room_Type 1,32,Offline,0,105.0,0,0.0,2
212,2,0,Meal Plan 1,0,Room_Type 1,4,Online,0,145.0,0,0.0,1
213,3,0,Meal Plan 1,0,Room_Type 1,195,Online,0,106.03,1,0.0,3
214,2,0,Meal Plan 1,0,Room_Type 1,119,Online,0,114.3,0,0.0,4
215,1,0,Not Selected,0,Room_Type 1,13,Online,0,88.0,0,0.0,2
216,2,0,Meal Plan 1,0,Room_Type 1,59,Online,0,89.25,0,0.0,2
217,2,1,Meal Plan 1,0,Room_Type 4,78,Online,0,86.32,0,0.0,7
218,2,0,Meal Plan 1,0,Room_Type 1,335,Offline,0,90.0,0,0.0,3
219,2,0,Meal Plan 1,0,Room_Type 1,103,Online,0,55.96,0,0.0,7
220,1,0,Not Selected,0,Room_Type 1,0,Online,0,109.0,0,0.0,2
221,2,0,Meal Plan 1,0,Room_Type 1,118,Offline,0,86.0,0,0.0,1
222,2,0,Meal Plan 1,0,Room_Type 1,56,Online,0,118.95,0,0.0,6
223,2,0,Meal Plan 1,0,Room_Type 1,107,Offline,0,130.0,0,0.0,2
224,2,0,Not Selected,0,Room_Type 1,70,Online,0,90.56,0,0.0,4
225,2,0,Meal Plan 1,0,Room_Type 1,76,Online,0,87.3,0,0.0,2
226,2,1,Meal Plan 1,0,Room_Type 6,144,Online,0,177.65,1,0.0,4
227,1,1,Meal Plan 1,0,Room_Type 6,4,Online,0,200.75,0,0.0,4
228,2,1,Meal Plan 1,0,Room_Type 1,15,Online,0,127.0,0,0.0,2
229,1,0,Meal Plan 1,0,Room_Type 1,32,Online,0,72.9,1,0.0,3
230,3,0,Meal Plan 1,0,Room_Type 4,49,Online,0,159.3,1,0.0,2
231,2,1,Meal Plan 1,0,Room_Type 1,77,Online,0,135.15,0,0.0,4
232,1,0,Meal Plan 1,0,Room_Type 1,22,Offline,0,90.0,0,0.0,2
233,2,0,Not Selected,0,Room_Type 1,0,Online,0,114.0,0,0.0,1
234,2,1,Meal Plan 1,1,Room_Type 1,58,Online,0,125.1,0,0.0,1
235,2,0,Not Selected,0,Room_Type 1,4,Online,0,95.13,0,0.0,8
236,2,0,Meal Plan 1,0,Room_Type 5,117,Online,0,105.84,1,0.0,2
237,2,0,Meal Plan 1,0,Room_Type 1,36,Online,0,102.0,1,0.0,4
238,2,0,Not Selected,0,Room_Type 1,35,Online,0,74.8,0,0.0,4
239,2,0,Not Selected,0,Room_Type 1,31,Online,0,94.5,1,0.0,1
240,2,0,Not Selected,0,Room_Type 1,79,Online,0,120.6,0,0.0,6
241,2,0,Meal Plan 1,0,Room_Type 1,1,Online,0,139.33,0,0.0,3
242,2,0,Meal Plan 1,0,Room_Type 1,21,Online,0,105.0,0,0.0,2
243,2,0,Not Selected,0,Room_Type 1,12,Corporate,0,100.0,0,0.0,2
244,2,0,Meal Plan 1,0,Room_Type 1,33,Online,0,80.3,0,0.0,1
245,1,0,Meal Plan 1,0,Room_Type 1,164,Offline,0,100.0,0,0.0,2
246,2,0,Meal Plan 1,1,Room_Type 1,78,Online,0,105.3,0,0.0,3
247,2,0,Meal Plan 1,0,Room_Type 4,18,Online,0,112.8,1,0.0,4
248,2,0,Meal Plan 1,0,Room_Type 1,21,Online,0,151.0,1,0.0,3
249,1,0,Meal Plan 1,0,Room_Type 1,0,Online,0,91.0,0,0.0,4
250,3,0,Meal Plan 1,0,Room_Type 4,152,Online,0,146.7,1,0.0,3
251,2,0,Meal Plan 1,0,Room_Type 1,43,Offline,0,58.4,0,0.0,5
252,2,0,Not Selected,0,Room_Type 1,177,Online,0,80.75,1,0.0,4
253,2,0,Not Selected,0,Room_Type 1,47,Offline,0,76.5,0,0.0,2
254,3,0,Meal Plan 1,0,Room_Type 4,57,Online,0,140.13,0,0.0,3
255,2,0,Not Selected,0,Room_Type 1,60,Online,0,76.0,0,0.0,6
256,2,0,Meal Plan 1,0,Room_Type 1,0,Online,0,200.0,0,0.0,1
257,2,0,Meal Plan 2,0,Room_Type 1,102,Online,0,101.5,1,0.0,2
258,2,0,Not Selected,0,Room_Type 1,71,Online,0,108.0,0,0.0,3
259,3,0,Meal Plan 2,0,Room_Type 4,111,Online,0,189.0,0,0.0,5
260,3,0,Meal Plan 1,0,Room_Type 4,1,Online,0,166.0,0,0.0,2
261,2,0,Not Selected,0,Room_Type 1,4,Online,0,67.5,0,0.0,2
262,2,0,Meal Plan 1,0,Room_Type 4,25,Online,0,78.54,0,0.0,4
263,1,0,Meal Plan 1,0,Room_Type 1,209,Online,0,152.1,1,0.0,4
264,1,0,Meal Plan 1,0,Room_Type 1,93,Online,0,115.0,1,0.0,3
265,2,0,Not Selected,0,Room_Type 1,53,Online,0,66.53,0,0.0,7
266,1,0,Meal Plan 1,0,Room_Type 1,1,Complementary,1,0.0,0,0.0,2
267,1,0,Meal Plan 1,0,Room_Type 1,4,Complementary,0,0.0,0,0.0,3
268,2,0,Meal Plan 1,0,Room_Type 1,302,Online,0,90.3,1,0.0,3
269,2,0,Meal Plan 1,0,Room_Type 1,122,Offline,0,85.0,0,0.0,2
270,1,0,Meal Plan 1,0,Room_Type 1,16,Corporate,0,75.0,0,0.0,1
271,2,0,Meal Plan 1,0,Room_Type 1,28,Online,0,115.37,1,0.0,6
272,2,0,Meal Plan 2,0,Room_Type 1,161,Online,0,130.0,1,0.0,3
273,3,0,Meal Plan 1,0,Room_Type 4,57,Online,0,126.0,0,0.0,2
274,2,0,Meal Plan 1,0,Room_Type 1,19,Online,0,94.35,0,0.0,1
275,3,0,Meal Plan 1,0,Room_Type 4,109,Online,0,118.46,0,0.0,6
276,1,0,Meal Plan 2,0,Room_Type 1,239,Online,0,90.6,1,0.0,2
277,1,0,Meal Plan 1,0,Room_Type 1,33,Online,0,82.9,0,0.0,3
278,2,0,Meal Plan 1,0,Room_Type 1,11,Online,0,95.33,0,0.0,3
279,3,0,Meal Plan 1,0,Room_Type 4,40,Online,0,135.64,0,0.0,7
280,3,0,Meal Plan 1,0,Room_Type 4,45,Offline,0,122.4,0,0.0,2
281,2,0,Not Selected,0,Room_Type 1,41,Online,0,116.1,1,0.0,4
282,2,0,Not Selected,0,Room_Type 1,167,Online,0,62.18,1,0.0,4
283,2,0,Not Selected,0,Room_Type 1,62,Online,0,63.75,1,0.0,4
284,1,0,Meal Plan 1,0,Room_Type 1,113,Online,0,118.8,1,0.0,5
285,2,0,Not Selected,1,Room_Type 1,1,Online,0,167.0,0,0.0,2
286,2,1,Meal Plan 1,0,Room_Type 6,84,Online,0,187.85,0,0.0,4
287,0,1,Meal Plan 1,0,Room_Type 1,68,Online,0,108.38,1,0.0,4
288,2,0,Meal Plan 1,0,Room_Type 2,9,Complementary,1,0.0,0,0.0,1
289,3,0,Meal Plan 1,0,Room_Type 1,245,Online,0,128.7,1,0.0,3
290,2,0,Meal Plan 1,0,Room_Type 1,80,Online,0,80.33,0,0.0,4
291,2,0,Meal Plan 1,0,Room_Type 1,7,Online,0,140.0,1,0.0,2
292,2,1,Meal Plan 1,0,Room_Type 1,128,Online,0,76.5,0,0.0,2
293,2,0,Meal Plan 1,0,Room_Type 1,100,Online,0,105.3,0,0.0,3
294,2,0,Meal Plan 1,0,Room_Type 1,118,Online,0,87.3,1,0.0,3
295,1,0,Meal Plan 1,0,Room_Type 1,166,Online,0,110.0,1,0.0,3
296,1,0,Meal Plan 2,0,Room_Type 1,41,Offline,0,83.0,0,0.0,1
297,2,0,Meal Plan 1,0,Room_Type 1,174,Online,0,99.45,0,0.0,4
298,2,1,Meal Plan 2,0,Room_Type 1,27,Offline,0,104.5,0,0.0,3
299,2,0,Meal Plan 1,0,Room_Type 1,2,Online,0,92.54,0,0.0,8
300,1,0,Meal Plan 1,0,Room_Type 1,37,Offline,0,95.0,0,0.0,3
301,1,0,Meal Plan 1,0,Room_Type 1,188,Online,0,130.0,1,0.0,2
302,2,0,Meal Plan 1,0,Room_Type 1,68,Offline,1,63.0,0,1.0,3
303,2,0,Meal Plan 1,0,Room_Type 4,189,Online,0,109.8,1,0.0,3
304,2,0,Meal Plan 1,0,Room_Type 1,10,Online,0,103.0,0,0.0,1
305,3,0,Meal Plan 1,0,Room_Type 4,19,Online,0,130.0,0,0.0,3
306,2,0,Meal Plan 1,0,Room_Type 1,61,Online,0,117.0,1,0.0,2
307,2,0,Meal Plan 1,0,Room_Type 4,95,Offline,0,60.5,0,0.0,4
308,2,0,Meal Plan 2,0,Room_Type 1,83,Offline,0,112.2,0,0.0,1
309,2,0,Meal Plan 1,0,Room_Type 1,37,Online,0,135.9,1,0.0,4
310,2,0,Meal Plan 1,0,Room_Type 1,19,Online,0,151.0,1,0.0,1
311,2,1,Meal Plan 1,0,Room_Type 6,22,Online,0,239.0,0,0.0,2
312,2,0,Meal Plan 1,0,Room_Type 1,22,Online,0,59.09,0,0.0,3
313,2,0,Meal Plan 1,0,Room_Type 1,151,Online,0,103.09,1,0.0,7
314,2,0,Meal Plan 1,0,Room_Type 1,26,Offline,0,87.0,0,0.0,3
315,3,0,Meal Plan 1,0,Room_Type 4,27,Online,0,137.0,1,0.0,1
